2025-10-22 12:30:01 | DEBUG    | superclaude | SuperClaude called with operation: install
2025-10-22 12:30:01 | DEBUG    | superclaude | Arguments: {'verbose': False, 'quiet': False, 'install_dir': PosixPath('/Users/admin/.claude'), 'dry_run': False, 'force': False, 'yes': False, 'no_update_check': False, 'auto_update': False, 'authors': False, 'operation': 'install', 'components': None, 'no_backup': False, 'list_components': False, 'diagnose': False}
2025-10-22 12:30:01 | INFO     | superclaude | Executing operation: install
2025-10-22 12:30:01 | INFO     | superclaude | Starting install operation
2025-10-22 12:30:01 | INFO     | superclaude.security | [ALLOW] Claude directory installation validated: /Users/admin/.claude (PID: 99045)
2025-10-22 12:30:01 | INFO     | superclaude | Initializing installation system...
2025-10-22 12:30:01 | DEBUG    | superclaude | Discovered 6 .md files in /Users/admin/.local/pipx/venvs/superclaude/lib/python3.14/site-packages/superclaude/core
2025-10-22 12:30:01 | DEBUG    | superclaude | Files found: ['BUSINESS_PANEL_EXAMPLES.md', 'BUSINESS_SYMBOLS.md', 'FLAGS.md', 'PRINCIPLES.md', 'RESEARCH_CONFIG.md', 'RULES.md']
2025-10-22 12:30:01 | DEBUG    | superclaude | Discovered 7 .md files in /Users/admin/.local/pipx/venvs/superclaude/lib/python3.14/site-packages/superclaude/modes
2025-10-22 12:30:01 | DEBUG    | superclaude | Files found: ['MODE_Brainstorming.md', 'MODE_Business_Panel.md', 'MODE_DeepResearch.md', 'MODE_Introspection.md', 'MODE_Orchestration.md', 'MODE_Task_Management.md', 'MODE_Token_Efficiency.md']
2025-10-22 12:30:01 | DEBUG    | superclaude | Discovered 17 .md files in /Users/admin/.local/pipx/venvs/superclaude/lib/python3.14/site-packages/superclaude/agents
2025-10-22 12:30:01 | DEBUG    | superclaude | Files found: ['backend-architect.md', 'business-panel-experts.md', 'deep-research-agent.md', 'devops-architect.md', 'frontend-architect.md', 'learning-guide.md', 'performance-engineer.md', 'pm-agent.md', 'python-expert.md', 'quality-engineer.md', 'refactoring-expert.md', 'requirements-analyst.md', 'root-cause-analyst.md', 'security-engineer.md', 'socratic-mentor.md', 'system-architect.md', 'technical-writer.md']
2025-10-22 12:30:01 | DEBUG    | superclaude | Discovered 26 .md files in /Users/admin/.local/pipx/venvs/superclaude/lib/python3.14/site-packages/superclaude/commands
2025-10-22 12:30:01 | DEBUG    | superclaude | Files found: ['analyze.md', 'brainstorm.md', 'build.md', 'business-panel.md', 'cleanup.md', 'design.md', 'document.md', 'estimate.md', 'explain.md', 'git.md', 'help.md', 'implement.md', 'improve.md', 'index.md', 'load.md', 'pm.md', 'reflect.md', 'research.md', 'save.md', 'select-tool.md', 'spawn.md', 'spec-panel.md', 'task.md', 'test.md', 'troubleshoot.md', 'workflow.md']
2025-10-22 12:30:13 | INFO     | superclaude | Selected MCP servers: sequential-thinking, context7, magic, playwright, serena, morphllm-fast-apply, tavily, chrome-devtools, airis-mcp-gateway
2025-10-22 12:30:23 | INFO     | superclaude | Selected framework components: core, modes, commands, agents, mcp_docs, mcp
2025-10-22 12:30:23 | INFO     | superclaude | Validating system requirements...
2025-10-22 12:30:23 | INFO     | superclaude | All system requirements met
2025-10-22 12:30:23 | WARNING  | superclaude | Installation directory already exists: /Users/admin/.claude
2025-10-22 12:30:31 | DEBUG    | superclaude | Discovered 6 .md files in /Users/admin/.local/pipx/venvs/superclaude/lib/python3.14/site-packages/superclaude/core
2025-10-22 12:30:31 | DEBUG    | superclaude | Files found: ['BUSINESS_PANEL_EXAMPLES.md', 'BUSINESS_SYMBOLS.md', 'FLAGS.md', 'PRINCIPLES.md', 'RESEARCH_CONFIG.md', 'RULES.md']
2025-10-22 12:30:31 | DEBUG    | superclaude | Discovered 7 .md files in /Users/admin/.local/pipx/venvs/superclaude/lib/python3.14/site-packages/superclaude/modes
2025-10-22 12:30:31 | DEBUG    | superclaude | Files found: ['MODE_Brainstorming.md', 'MODE_Business_Panel.md', 'MODE_DeepResearch.md', 'MODE_Introspection.md', 'MODE_Orchestration.md', 'MODE_Task_Management.md', 'MODE_Token_Efficiency.md']
2025-10-22 12:30:31 | DEBUG    | superclaude | Discovered 26 .md files in /Users/admin/.local/pipx/venvs/superclaude/lib/python3.14/site-packages/superclaude/commands
2025-10-22 12:30:31 | DEBUG    | superclaude | Files found: ['analyze.md', 'brainstorm.md', 'build.md', 'business-panel.md', 'cleanup.md', 'design.md', 'document.md', 'estimate.md', 'explain.md', 'git.md', 'help.md', 'implement.md', 'improve.md', 'index.md', 'load.md', 'pm.md', 'reflect.md', 'research.md', 'save.md', 'select-tool.md', 'spawn.md', 'spec-panel.md', 'task.md', 'test.md', 'troubleshoot.md', 'workflow.md']
2025-10-22 12:30:31 | DEBUG    | superclaude | Discovered 17 .md files in /Users/admin/.local/pipx/venvs/superclaude/lib/python3.14/site-packages/superclaude/agents
2025-10-22 12:30:31 | DEBUG    | superclaude | Files found: ['backend-architect.md', 'business-panel-experts.md', 'deep-research-agent.md', 'devops-architect.md', 'frontend-architect.md', 'learning-guide.md', 'performance-engineer.md', 'pm-agent.md', 'python-expert.md', 'quality-engineer.md', 'refactoring-expert.md', 'requirements-analyst.md', 'root-cause-analyst.md', 'security-engineer.md', 'socratic-mentor.md', 'system-architect.md', 'technical-writer.md']
