2026-01-08 08:29:35 | DEBUG    | superclaude | SuperClaude called with operation: uninstall
2026-01-08 08:29:35 | DEBUG    | superclaude | Arguments: {'verbose': False, 'quiet': False, 'install_dir': PosixPath('/Users/admin/.claude'), 'dry_run': False, 'force': False, 'yes': False, 'no_update_check': False, 'auto_update': False, 'authors': False, 'operation': 'uninstall', 'components': None, 'complete': False, 'keep_backups': False, 'keep_logs': False, 'keep_settings': False, 'no_confirm': False, 'cleanup_env': False, 'no_restore_script': False}
2026-01-08 08:29:35 | INFO     | superclaude | Executing operation: uninstall
2026-01-08 08:29:35 | INFO     | superclaude | Starting uninstall operation
2026-01-08 08:29:35 | INFO     | superclaude.security | [ALLOW] Claude directory installation validated: /Users/admin/.claude (PID: 34771)
2026-01-08 08:29:37 | INFO     | superclaude | Creating uninstall backup: /Users/admin/.claude/backups/pre_uninstall_20260108_082937.tar.gz
2026-01-08 08:29:37 | INFO     | superclaude | Backup created: /Users/admin/.claude/backups/pre_uninstall_20260108_082937.tar.gz
2026-01-08 08:29:37 | DEBUG    | superclaude | Discovered 6 .md files in /Users/admin/.local/pipx/venvs/superclaude/lib/python3.14/site-packages/superclaude/core
2026-01-08 08:29:37 | DEBUG    | superclaude | Files found: ['BUSINESS_PANEL_EXAMPLES.md', 'BUSINESS_SYMBOLS.md', 'FLAGS.md', 'PRINCIPLES.md', 'RESEARCH_CONFIG.md', 'RULES.md']
2026-01-08 08:29:37 | DEBUG    | superclaude | Discovered 7 .md files in /Users/admin/.local/pipx/venvs/superclaude/lib/python3.14/site-packages/superclaude/modes
2026-01-08 08:29:37 | DEBUG    | superclaude | Files found: ['MODE_Brainstorming.md', 'MODE_Business_Panel.md', 'MODE_DeepResearch.md', 'MODE_Introspection.md', 'MODE_Orchestration.md', 'MODE_Task_Management.md', 'MODE_Token_Efficiency.md']
2026-01-08 08:29:37 | DEBUG    | superclaude | Discovered 17 .md files in /Users/admin/.local/pipx/venvs/superclaude/lib/python3.14/site-packages/superclaude/agents
